"","team_api_id","team_long_name","Play","Creation","Defense","goals"
"1",9930,"FC Aarau",NA,180,150,153
"2",9930,"FC Aarau",156,181,145,153
"3",9930,"FC Aarau",142,181,145,153
"4",8485,"Aberdeen",NA,210,200,365
"5",8485,"Aberdeen",NA,153,146,365
"6",8485,"Aberdeen",NA,170,140,365
"7",8485,"Aberdeen",NA,145,144,365
"8",8485,"Aberdeen",184,181,143,365
"9",8485,"Aberdeen",176,186,157,365
"10",8576,"AC Ajaccio",NA,135,130,116
"11",8576,"AC Ajaccio",NA,180,140,116
"12",8576,"AC Ajaccio",NA,134,138,116
"13",8576,"AC Ajaccio",NA,134,138,116
"14",8576,"AC Ajaccio",168,138,138,116
"15",8576,"AC Ajaccio",168,138,138,116
"16",8564,"Milan",NA,170,125,496
"17",8564,"Milan",NA,160,150,496
"18",8564,"Milan",NA,135,140,496
"19",8564,"Milan",NA,168,150,496
"20",8564,"Milan",170,177,164,496
"21",8564,"Milan",170,171,164,496
"22",10215,"Académica de Coimbra",NA,165,90,240
"23",10215,"Académica de Coimbra",NA,155,140,240
"24",10215,"Académica de Coimbra",NA,172,151,240
"25",10215,"Académica de Coimbra",NA,172,151,240
"26",10215,"Académica de Coimbra",149,166,138,240
"27",10215,"Académica de Coimbra",150,166,138,240
"28",10217,"ADO Den Haag",NA,145,90,366
"29",10217,"ADO Den Haag",NA,181,173,366
"30",10217,"ADO Den Haag",NA,159,170,366
"31",10217,"ADO Den Haag",NA,154,160,366
"32",10217,"ADO Den Haag",160,151,159,366
"33",10217,"ADO Den Haag",162,145,142,366
"34",8593,"Ajax",NA,180,90,647
"35",8593,"Ajax",NA,199,185,647
"36",8593,"Ajax",NA,149,193,647
"37",8593,"Ajax",NA,137,183,647
"38",8593,"Ajax",110,145,181,647
"39",8593,"Ajax",117,143,176,647
"40",9865,"UD Almería",NA,160,165,202
"41",9865,"UD Almería",NA,180,193,202
"42",9865,"UD Almería",NA,151,135,202
"43",9865,"UD Almería",NA,151,135,202
"44",9865,"UD Almería",152,151,135,202
"45",9865,"UD Almería",152,151,135,202
"46",8635,"RSC Anderlecht",NA,180,190,427
"47",8635,"RSC Anderlecht",NA,180,190,427
"48",8635,"RSC Anderlecht",NA,157,140,427
"49",8635,"RSC Anderlecht",NA,182,168,427
"50",8635,"RSC Anderlecht",149,160,175,427
"51",8635,"RSC Anderlecht",149,160,164,427
"52",8121,"Angers SCO",NA,145,115,40
"53",8121,"Angers SCO",NA,180,140,40
"54",8121,"Angers SCO",NA,152,139,40
"55",8121,"Angers SCO",NA,152,139,40
"56",8121,"Angers SCO",159,140,139,40
"57",8121,"Angers SCO",159,140,139,40
"58",8322,"Arka Gdynia",NA,150,205,77
"59",8322,"Arka Gdynia",NA,147,140,77
"60",108893,"AC Arles-Avignon",NA,95,115,21
"61",108893,"AC Arles-Avignon",NA,105,105,21
"62",108893,"AC Arles-Avignon",NA,132,112,21
"63",108893,"AC Arles-Avignon",NA,141,140,21
"64",108893,"AC Arles-Avignon",141,132,154,21
"65",108893,"AC Arles-Avignon",156,138,158,21
"66",9912,"DSC Arminia Bielefeld",NA,165,135,29
"67",9912,"DSC Arminia Bielefeld",NA,120,136,29
"68",9912,"DSC Arminia Bielefeld",166,159,138,29
"69",158085,"FC Arouca",174,160,109,101
"70",158085,"FC Arouca",170,160,113,101
"71",9825,"Arsenal",NA,110,120,573
"72",9825,"Arsenal",NA,150,135,573
"73",9825,"Arsenal",NA,105,166,573
"74",9825,"Arsenal",NA,135,170,573
"75",9825,"Arsenal",136,147,147,573
"76",9825,"Arsenal",140,118,147,573
"77",10252,"Aston Villa",NA,185,130,335
"78",10252,"Aston Villa",NA,150,145,335
"79",10252,"Aston Villa",NA,160,145,335
"80",10252,"Aston Villa",NA,141,134,335
"81",10252,"Aston Villa",170,167,133,335
"82",10252,"Aston Villa",154,146,133,335
"83",8524,"Atalanta",NA,120,115,283
"84",8524,"Atalanta",NA,170,165,283
"85",8524,"Atalanta",NA,150,147,283
"86",8524,"Atalanta",NA,138,156,283
"87",8524,"Atalanta",146,138,151,283
"88",8524,"Atalanta",146,138,148,283
"89",8315,"Athletic Club de Bilbao",NA,160,135,415
"90",8315,"Athletic Club de Bilbao",NA,184,170,415
"91",8315,"Athletic Club de Bilbao",NA,173,165,415
"92",8315,"Athletic Club de Bilbao",NA,162,165,415
"93",8315,"Athletic Club de Bilbao",125,157,162,415
"94",8315,"Athletic Club de Bilbao",131,146,156,415
"95",9906,"Atlético Madrid",NA,185,159,524
"96",9906,"Atlético Madrid",NA,206,160,524
"97",9906,"Atlético Madrid",NA,184,144,524
"98",9906,"Atlético Madrid",NA,189,144,524
"99",9906,"Atlético Madrid",150,188,144,524
"100",9906,"Atlético Madrid",157,172,143,524
"101",8406,"FC Augsburg",NA,175,145,201
"102",8406,"FC Augsburg",NA,188,150,201
"103",8406,"FC Augsburg",NA,161,161,201
"104",8406,"FC Augsburg",NA,174,128,201
"105",8406,"FC Augsburg",169,160,154,201
"106",8406,"FC Augsburg",165,166,143,201
"107",8583,"AJ Auxerre",NA,135,115,168
"108",8583,"AJ Auxerre",NA,150,145,168
"109",8583,"AJ Auxerre",NA,164,115,168
"110",8583,"AJ Auxerre",NA,164,120,168
"111",8583,"AJ Auxerre",168,164,115,168
"112",8583,"AJ Auxerre",168,164,119,168
"113",10229,"AZ",NA,130,110,492
"114",10229,"AZ",NA,185,175,492
"115",10229,"AZ",NA,147,184,492
"116",10229,"AZ",NA,167,174,492
"117",10229,"AZ",136,168,166,492
"118",10229,"AZ",154,173,166,492
"119",8634,"FC Barcelona",NA,175,170,849
"120",8634,"FC Barcelona",NA,152,178,849
"121",8634,"FC Barcelona",NA,115,195,849
"122",8634,"FC Barcelona",NA,103,189,849
"123",8634,"FC Barcelona",102,103,189,849
"124",8634,"FC Barcelona",122,141,191,849
"125",9976,"Bari",NA,135,115,76
"126",9976,"Bari",NA,193,160,76
"127",9976,"Bari",NA,135,140,76
"128",9976,"Bari",NA,158,161,76
"129",9976,"Bari",152,154,153,76
"130",9976,"Bari",157,143,156,76
"131",9931,"FC Basel",NA,165,180,619
"132",9931,"FC Basel",NA,154,146,619
"133",9931,"FC Basel",NA,186,158,619
"134",9931,"FC Basel",NA,186,158,619
"135",9931,"FC Basel",170,186,158,619
"136",9931,"FC Basel",170,186,158,619
"137",8178,"Bayer 04 Leverkusen",NA,210,200,483
"138",8178,"Bayer 04 Leverkusen",NA,153,147,483
"139",8178,"Bayer 04 Leverkusen",NA,163,139,483
"140",8178,"Bayer 04 Leverkusen",NA,143,143,483
"141",8178,"Bayer 04 Leverkusen",154,146,150,483
"142",8178,"Bayer 04 Leverkusen",157,192,183,483
"143",9823,"FC Bayern Munich",NA,205,175,653
"144",9823,"FC Bayern Munich",NA,136,156,653
"145",9823,"FC Bayern Munich",NA,120,134,653
"146",9823,"FC Bayern Munich",NA,123,158,653
"147",9823,"FC Bayern Munich",93,99,160,653
"148",9823,"FC Bayern Munich",97,90,184,653
"149",9993,"Beerschot AC",NA,135,210,174
"150",9993,"Beerschot AC",NA,185,115,174
"151",9993,"Beerschot AC",NA,142,141,174
"152",9993,"Beerschot AC",NA,151,158,174
"153",10211,"SC Beira Mar",NA,157,155,93
"154",10211,"SC Beira Mar",NA,165,150,93
"155",10211,"SC Beira Mar",NA,165,150,93
"156",9807,"CF Os Belenenses",NA,160,90,148
"157",9807,"CF Os Belenenses",157,125,135,148
"158",9807,"CF Os Belenenses",156,128,135,148
"159",6493,"AC Bellinzona",NA,175,150,128
"160",6493,"AC Bellinzona",NA,148,138,128
"161",9772,"SL Benfica",NA,170,90,568
"162",9772,"SL Benfica",NA,171,171,568
"163",9772,"SL Benfica",NA,179,169,568
"164",9772,"SL Benfica",NA,179,175,568
"165",9772,"SL Benfica",178,185,171,568
"166",9772,"SL Benfica",177,185,171,568
"167",8658,"Birmingham City",NA,210,210,75
"168",8658,"Birmingham City",NA,125,135,75
"169",8658,"Birmingham City",NA,159,144,75
"170",8658,"Birmingham City",NA,157,140,75
"171",8658,"Birmingham City",174,204,144,75
"172",8658,"Birmingham City",163,203,143,75
"173",8655,"Blackburn Rovers",NA,185,160,175
"174",8655,"Blackburn Rovers",NA,135,160,175
"175",8655,"Blackburn Rovers",NA,140,130,175
"176",8655,"Blackburn Rovers",NA,147,130,175
"177",8655,"Blackburn Rovers",137,164,147,175
"178",8655,"Blackburn Rovers",185,159,157,175
"179",8483,"Blackpool",NA,205,210,55
"180",8483,"Blackpool",NA,160,140,55
"181",8483,"Blackpool",NA,176,155,55
"182",8483,"Blackpool",NA,176,155,55
"183",8483,"Blackpool",183,176,131,55
"184",8483,"Blackpool",162,166,131,55
"185",8613,"Boavista FC",153,128,148,51
"186",9911,"VfL Bochum",NA,150,140,72
"187",9911,"VfL Bochum",NA,156,164,72
"188",9911,"VfL Bochum",NA,142,136,72
"189",9911,"VfL Bochum",NA,142,134,72
"190",9911,"VfL Bochum",140,141,136,72
"191",9911,"VfL Bochum",164,172,172,72
"192",9857,"Bologna",NA,165,135,263
"193",9857,"Bologna",NA,120,130,263
"194",9857,"Bologna",NA,120,130,263
"195",9857,"Bologna",NA,175,134,263
"196",9857,"Bologna",164,132,130,263
"197",9857,"Bologna",164,132,132,263
"198",8559,"Bolton Wanderers",NA,185,140,181
"199",8559,"Bolton Wanderers",NA,175,145,181
"200",8559,"Bolton Wanderers",NA,153,154,181
"201",8559,"Bolton Wanderers",NA,134,145,181
"202",8559,"Bolton Wanderers",167,171,145,181
"203",8559,"Bolton Wanderers",152,170,145,181
"204",9827,"Girondins de Bordeaux",NA,190,195,404
"205",9827,"Girondins de Bordeaux",NA,180,165,404
"206",9827,"Girondins de Bordeaux",NA,164,139,404
"207",9827,"Girondins de Bordeaux",NA,164,139,404
"208",9827,"Girondins de Bordeaux",123,155,119,404
"209",9827,"Girondins de Bordeaux",139,156,158,404
"210",9789,"Borussia Dortmund",NA,170,177,551
"211",9789,"Borussia Dortmund",NA,177,172,551
"212",9789,"Borussia Dortmund",NA,181,173,551
"213",9789,"Borussia Dortmund",NA,194,178,551
"214",9789,"Borussia Dortmund",170,170,171,551
"215",9789,"Borussia Dortmund",148,163,176,551
"216",9788,"Borussia Mönchengladbach",NA,185,160,403
"217",9788,"Borussia Mönchengladbach",NA,172,156,403
"218",9788,"Borussia Mönchengladbach",NA,157,114,403
"219",9788,"Borussia Mönchengladbach",NA,144,127,403
"220",9788,"Borussia Mönchengladbach",116,113,134,403
"221",9788,"Borussia Mönchengladbach",116,113,128,403
"222",4170,"US Boulogne Cote D'Opale",NA,150,200,31
"223",4170,"US Boulogne Cote D'Opale",NA,165,155,31
"224",4170,"US Boulogne Cote D'Opale",NA,154,155,31
"225",8678,"Bournemouth",NA,200,210,45
"226",8678,"Bournemouth",NA,148,121,45
"227",8678,"Bournemouth",NA,166,160,45
"228",8678,"Bournemouth",NA,149,160,45
"229",8678,"Bournemouth",139,135,160,45
"230",8678,"Bournemouth",130,141,160,45
"231",10264,"SC Braga",NA,165,90,398
"232",10264,"SC Braga",NA,165,150,398
"233",10264,"SC Braga",NA,158,110,398
"234",10264,"SC Braga",NA,158,120,398
"235",10264,"SC Braga",143,157,120,398
"236",10264,"SC Braga",145,166,120,398
"237",9858,"Brescia",NA,155,130,34
"238",9858,"Brescia",NA,180,145,34
"239",9858,"Brescia",NA,120,130,34
"240",9858,"Brescia",NA,145,155,34
"241",9858,"Brescia",125,154,150,34
"242",9858,"Brescia",141,158,150,34
"243",8521,"Stade Brestois 29",NA,130,210,99
"244",8521,"Stade Brestois 29",NA,165,165,99
"245",8521,"Stade Brestois 29",NA,168,129,99
"246",8521,"Stade Brestois 29",NA,168,129,99
"247",8521,"Stade Brestois 29",161,168,129,99
"248",8521,"Stade Brestois 29",161,168,129,99
"249",8191,"Burnley",NA,210,205,70
"250",8191,"Burnley",NA,172,146,70
"251",8191,"Burnley",NA,162,160,70
"252",8191,"Burnley",NA,163,156,70
"253",8191,"Burnley",154,189,169,70
"254",8191,"Burnley",153,176,183,70
"255",7819,"SM Caen",NA,155,205,220
"256",7819,"SM Caen",NA,165,165,220
"257",7819,"SM Caen",NA,155,143,220
"258",7819,"SM Caen",NA,155,143,220
"259",7819,"SM Caen",157,155,136,220
"260",7819,"SM Caen",157,155,136,220
"261",8529,"Cagliari",NA,120,155,309
"262",8529,"Cagliari",NA,165,141,309
"263",8529,"Cagliari",NA,165,140,309
"264",8529,"Cagliari",NA,168,153,309
"265",8529,"Cagliari",167,152,144,309
"266",8529,"Cagliari",134,196,187,309
"267",7788,"SC Cambuur",126,159,138,119
"268",7788,"SC Cambuur",136,134,138,119
"269",8344,"Cardiff City",NA,210,210,32
"270",8344,"Cardiff City",NA,182,146,32
"271",8344,"Cardiff City",NA,154,146,32
"272",8344,"Cardiff City",NA,175,146,32
"273",8344,"Cardiff City",143,139,113,32
"274",8344,"Cardiff City",168,154,113,32
"275",208931,"Carpi",109,137,141,37
"276",208931,"Carpi",190,160,115,37
"277",8530,"Catania",NA,120,140,251
"278",8530,"Catania",NA,178,140,251
"279",8530,"Catania",NA,150,110,251
"280",8530,"Catania",NA,171,146,251
"281",8530,"Catania",175,141,147,251
"282",8530,"Catania",170,141,147,251
"283",9910,"RC Celta de Vigo",NA,160,115,184
"284",9910,"RC Celta de Vigo",NA,158,128,184
"285",9910,"RC Celta de Vigo",NA,179,162,184
"286",9910,"RC Celta de Vigo",NA,179,162,184
"287",9910,"RC Celta de Vigo",169,179,159,184
"288",9910,"RC Celta de Vigo",152,139,169,184
"289",9925,"Celtic",NA,205,200,695
"290",9925,"Celtic",NA,170,159,695
"291",9925,"Celtic",NA,172,160,695
"292",9925,"Celtic",NA,175,166,695
"293",9925,"Celtic",180,178,165,695
"294",9925,"Celtic",156,164,169,695
"295",9984,"KSV Cercle Brugge",NA,170,195,213
"296",9984,"KSV Cercle Brugge",NA,200,180,213
"297",9984,"KSV Cercle Brugge",NA,165,168,213
"298",9984,"KSV Cercle Brugge",NA,165,168,213
"299",9984,"KSV Cercle Brugge",145,152,168,213
"300",9984,"KSV Cercle Brugge",145,152,168,213
"301",9880,"Cesena",NA,145,130,98
"302",9880,"Cesena",NA,120,140,98
"303",9880,"Cesena",NA,150,130,98
"304",9880,"Cesena",NA,170,145,98
"305",9880,"Cesena",143,170,145,98
"306",9880,"Cesena",138,163,145,98
"307",8455,"Chelsea",NA,196,125,583
"308",8455,"Chelsea",NA,200,140,583
"309",8455,"Chelsea",NA,145,168,583
"310",8455,"Chelsea",NA,170,131,583
"311",8455,"Chelsea",157,170,126,583
"312",8455,"Chelsea",144,119,126,583
"313",8533,"Chievo Verona",NA,145,165,285
"314",8533,"Chievo Verona",NA,129,157,285
"315",8533,"Chievo Verona",NA,165,120,285
"316",8533,"Chievo Verona",NA,169,136,285
"317",8533,"Chievo Verona",187,170,156,285
"318",8533,"Chievo Verona",187,170,156,285
"319",8342,"Club Brugge KV",NA,140,200,421
"320",8342,"Club Brugge KV",NA,170,148,421
"321",8342,"Club Brugge KV",NA,156,162,421
"322",8342,"Club Brugge KV",NA,156,147,421
"323",8342,"Club Brugge KV",139,146,158,421
"324",8342,"Club Brugge KV",139,146,158,421
"325",7869,"Córdoba CF",NA,140,105,22
"326",7869,"Córdoba CF",NA,128,122,22
"327",7869,"Córdoba CF",NA,159,129,22
"328",7869,"Córdoba CF",NA,159,129,22
"329",7869,"Córdoba CF",146,154,129,22
"330",7869,"Córdoba CF",141,171,129,22
"331",2186,"Cracovia",NA,140,205,235
"332",2186,"Cracovia",NA,148,144,235
"333",2186,"Cracovia",NA,168,163,235
"334",2186,"Cracovia",125,165,157,235
"335",2186,"Cracovia",125,165,157,235
"336",9826,"Crystal Palace",NA,205,185,119
"337",9826,"Crystal Palace",NA,169,124,119
"338",9826,"Crystal Palace",NA,182,124,119
"339",9826,"Crystal Palace",NA,182,122,119
"340",9826,"Crystal Palace",165,181,118,119
"341",9826,"Crystal Palace",173,186,111,119
"342",8262,"SV Darmstadt 98",179,174,129,38
"343",8526,"De Graafschap",NA,153,137,130
"344",8526,"De Graafschap",NA,150,136,130
"345",9783,"RC Deportivo de La Coruña",NA,140,115,241
"346",9783,"RC Deportivo de La Coruña",NA,187,151,241
"347",9783,"RC Deportivo de La Coruña",NA,158,154,241
"348",9783,"RC Deportivo de La Coruña",NA,158,154,241
"349",9783,"RC Deportivo de La Coruña",157,158,154,241
"350",9783,"RC Deportivo de La Coruña",155,145,154,241
"351",9836,"Dijon FCO",NA,135,120,38
"352",9836,"Dijon FCO",NA,165,130,38
"353",9836,"Dijon FCO",NA,153,149,38
"354",9836,"Dijon FCO",NA,153,149,38
"355",9836,"Dijon FCO",154,153,149,38
"356",9836,"Dijon FCO",154,153,149,38
"357",8284,"Dundee FC",NA,151,154,127
"358",8284,"Dundee FC",142,158,146,127
"359",9938,"Dundee United",NA,205,200,438
"360",9938,"Dundee United",NA,187,177,438
"361",9938,"Dundee United",NA,135,130,438
"362",9938,"Dundee United",NA,150,134,438
"363",9938,"Dundee United",171,145,133,438
"364",9938,"Dundee United",171,149,143,438
"365",8457,"Dunfermline Athletic",NA,168,148,40
"366",8372,"SD Eibar",165,179,142,83
"367",8372,"SD Eibar",165,166,142,83
"368",9776,"Eintracht Braunschweig",NA,180,144,29
"369",9776,"Eintracht Braunschweig",NA,195,157,29
"370",9776,"Eintracht Braunschweig",183,157,109,29
"371",9776,"Eintracht Braunschweig",164,172,157,29
"372",9810,"Eintracht Frankfurt",NA,165,140,296
"373",9810,"Eintracht Frankfurt",NA,165,151,296
"374",9810,"Eintracht Frankfurt",NA,140,145,296
"375",9810,"Eintracht Frankfurt",NA,140,148,296
"376",9810,"Eintracht Frankfurt",153,159,144,296
"377",9810,"Eintracht Frankfurt",130,145,145,296
"378",10268,"Elche CF",NA,165,140,65
"379",10268,"Elche CF",NA,141,130,65
"380",10268,"Elche CF",NA,164,158,65
"381",10268,"Elche CF",NA,164,158,65
"382",10268,"Elche CF",171,164,158,65
"383",10268,"Elche CF",151,164,158,65
"384",8534,"Empoli",NA,115,90,86
"385",8534,"Empoli",NA,155,137,86
"386",8534,"Empoli",NA,150,130,86
"387",8534,"Empoli",NA,169,148,86
"388",8534,"Empoli",145,184,164,86
"389",8534,"Empoli",145,186,160,86
"390",8398,"FC Energie Cottbus",NA,130,206,30
"391",8398,"FC Energie Cottbus",NA,161,146,30
"392",8398,"FC Energie Cottbus",NA,167,156,30
"393",8398,"FC Energie Cottbus",NA,167,156,30
"394",8398,"FC Energie Cottbus",126,175,154,30
"395",8558,"RCD Espanyol",NA,195,180,338
"396",8558,"RCD Espanyol",NA,196,165,338
"397",8558,"RCD Espanyol",NA,152,122,338
"398",8558,"RCD Espanyol",NA,152,122,338
"399",8558,"RCD Espanyol",146,152,122,338
"400",8558,"RCD Espanyol",146,152,122,338
"401",7842,"Estoril Praia",NA,139,150,167
"402",7842,"Estoril Praia",174,139,150,167
"403",7842,"Estoril Praia",167,139,150,167
"404",6351,"KAS Eupen",NA,160,155,28
"405",8668,"Everton",NA,175,150,439
"406",8668,"Everton",NA,180,180,439
"407",8668,"Everton",NA,161,160,439
"408",8668,"Everton",NA,139,144,439
"409",8668,"Everton",137,146,170,439
"410",8668,"Everton",128,135,169,439
"411",4087,"Évian Thonon Gaillard FC",NA,180,165,180
"412",4087,"Évian Thonon Gaillard FC",NA,168,153,180
"413",4087,"Évian Thonon Gaillard FC",NA,168,153,180
"414",4087,"Évian Thonon Gaillard FC",156,161,153,180
"415",4087,"Évian Thonon Gaillard FC",149,164,140,180
"416",10218,"Excelsior",NA,162,105,154
"417",10218,"Excelsior",NA,145,85,154
"418",10218,"Excelsior",163,136,106,154
"419",8596,"Falkirk",NA,200,200,68
"420",8722,"1. FC Köln",NA,165,170,226
"421",8722,"1. FC Köln",NA,131,136,226
"422",8722,"1. FC Köln",NA,158,165,226
"423",8722,"1. FC Köln",NA,158,165,226
"424",8722,"1. FC Köln",169,159,157,226
"425",8722,"1. FC Köln",171,164,149,226
"426",6631,"FC Dordrecht",134,176,164,24
"427",8674,"FC Groningen",NA,156,90,390
"428",8674,"FC Groningen",NA,177,136,390
"429",8674,"FC Groningen",NA,154,149,390
"430",8674,"FC Groningen",NA,156,149,390
"431",8674,"FC Groningen",128,161,149,390
"432",8674,"FC Groningen",142,170,149,390
"433",9773,"FC Porto",NA,180,90,541
"434",9773,"FC Porto",NA,180,163,541
"435",9773,"FC Porto",NA,196,170,541
"436",9773,"FC Porto",NA,196,175,541
"437",9773,"FC Porto",155,190,178,541
"438",9773,"FC Porto",173,190,178,541
"439",9908,"FC Utrecht",NA,150,90,408
"440",9908,"FC Utrecht",NA,182,125,408
"441",9908,"FC Utrecht",NA,158,141,408
"442",9908,"FC Utrecht",NA,166,141,408
"443",9908,"FC Utrecht",152,156,141,408
"444",9908,"FC Utrecht",143,147,159,408
"445",9824,"FC Vaduz",141,137,133,100
"446",10243,"FC Zürich",NA,165,155,468
"447",10243,"FC Zürich",NA,165,163,468
"448",10243,"FC Zürich",NA,154,146,468
"449",10243,"FC Zürich",NA,154,146,468
"450",10243,"FC Zürich",157,151,146,468
"451",10243,"FC Zürich",157,151,146,468
"452",10235,"Feyenoord",NA,131,90,489
"453",10235,"Feyenoord",NA,108,160,489
"454",10235,"Feyenoord",NA,154,140,489
"455",10235,"Feyenoord",NA,160,126,489
"456",10235,"Feyenoord",154,165,126,489
"457",10235,"Feyenoord",131,146,129,489
"458",8535,"Fiorentina",NA,170,135,440
"459",8535,"Fiorentina",NA,170,140,440
"460",8535,"Fiorentina",NA,165,140,440
"461",8535,"Fiorentina",NA,168,145,440
"462",8535,"Fiorentina",121,172,184,440
"463",8535,"Fiorentina",121,172,178,440
"464",8194,"Fortuna Düsseldorf",NA,172,169,39
"465",8194,"Fortuna Düsseldorf",NA,146,139,39
"466",8194,"Fortuna Düsseldorf",NA,190,165,39
"467",8194,"Fortuna Düsseldorf",NA,175,117,39
"468",8194,"Fortuna Düsseldorf",198,141,145,39
"469",8194,"Fortuna Düsseldorf",156,178,165,39
"470",8358,"SC Freiburg",NA,160,155,245
"471",8358,"SC Freiburg",NA,122,133,245
"472",8358,"SC Freiburg",NA,154,119,245
"473",8358,"SC Freiburg",NA,137,152,245
"474",8358,"SC Freiburg",145,132,158,245
"475",8358,"SC Freiburg",151,144,144,245
"476",9891,"Frosinone",NA,140,125,35
"477",9891,"Frosinone",NA,156,193,35
"478",9891,"Frosinone",157,151,159,35
"479",9879,"Fulham",NA,190,115,265
"480",9879,"Fulham",NA,140,130,265
"481",9879,"Fulham",NA,154,138,265
"482",9879,"Fulham",NA,164,135,265
"483",9879,"Fulham",142,153,96,265
"484",9879,"Fulham",134,152,98,265
"485",9987,"KRC Genk",NA,145,205,348
"486",9987,"KRC Genk",NA,182,149,348
"487",9987,"KRC Genk",NA,159,147,348
"488",9987,"KRC Genk",NA,171,147,348
"489",9987,"KRC Genk",148,171,147,348
"490",9987,"KRC Genk",148,155,163,348
"491",10233,"Genoa",NA,175,135,392
"492",10233,"Genoa",NA,150,154,392
"493",10233,"Genoa",NA,150,140,392
"494",10233,"Genoa",NA,182,146,392
"495",10233,"Genoa",184,168,123,392
"496",10233,"Genoa",184,134,127,392
"497",9991,"KAA Gent",NA,170,135,390
"498",9991,"KAA Gent",NA,184,138,390
"499",9991,"KAA Gent",NA,168,145,390
"500",9991,"KAA Gent",NA,128,143,390
